Feature,Random Forest,Gradient Boosting
model_name_SL350,6.30188517196575e-05,0.0
model_name_Expert,6.221633287001149e-05,0.0
model_name_735,6.212980693732279e-05,0.0
model_name_S80,6.137819357913495e-05,0.0
model_name_Evasion,6.0947270248104044e-05,0.0
manufacturer_name_Lincoln,6.08412526312333e-05,0.0
model_name_Q5,6.007547444850301e-05,0.0
model_name_G320,6.004706318103286e-05,1.8842658752838364e-05
model_name_Grand Caravan,5.986783759129684e-05,0.0
model_name_MPV,5.953182707476427e-05,0.0
model_name_740,5.9452748100249716e-05,0.0
model_name_Brava,5.941889952481237e-05,0.0
model_name_Range Rover Sport,5.9340274814819065e-05,0.0
model_name_ZX,5.906506740125252e-05,0.0
model_name_190,5.902224614507877e-05,0.0
manufacturer_name_Pontiac,5.8643505670029105e-05,0.0
model_name_X70,5.861326885332878e-05,0.0
model_name_Lantra,5.756023825466612e-05,0.0
model_name_LT,5.720114300437256e-05,0.0
model_name_Q7,5.6995374559563845e-05,0.0
model_name_T5,5.690828236189406e-05,0.0
model_name_Carina E,5.634220960793499e-05,0.0
model_name_3008,5.584554884103904e-05,3.520181181684426e-05
model_name_GL320,5.569893920803377e-05,0.0
model_name_508,5.54805329878953e-05,0.0
model_name_E420,5.534999326503244e-05,5.285555433653212e-05
model_name_Frontera,5.4911824461560725e-05,0.0
model_name_Sierra,5.4596118762322524e-05,0.0
model_name_806,5.4043597982776174e-05,0.0
model_name_Vento,5.386462587085767e-05,0.0
model_name_Xedos 9,5.3388353161508756e-05,0.0
model_name_5008,5.332201846712696e-05,0.0
model_name_Grand Cherokee,5.3204808697939534e-05,0.0
model_name_Space Star,5.298807410236736e-05,0.0
model_name_407,5.268888192476747e-05,0.0
manufacturer_name_Dacia,5.2284130995222756e-05,0.0
model_name_XC70,5.2123703967556546e-05,0.0
model_name_R280,5.206463307503464e-05,0.0
model_name_Legacy,5.129421031558574e-05,0.0
model_name_S450,5.0542678915603164e-05,0.0
model_name_Civic,5.0479449277533913e-05,0.0
model_name_Malibu,4.9810129872621655e-05,0.0
model_name_ES,4.876503747540118e-05,0.0
model_name_523,4.83133846806886e-05,0.0
model_name_Outback,4.828437506846437e-05,0.0
model_name_C220,4.820593323082939e-05,0.0
model_name_Teana,4.7743153363186544e-05,0.0
model_name_C1,4.6853371459532486e-05,0.0
model_name_Avensis Verso,4.6347021836050805e-05,0.0
model_name_Kangoo,4.6227465493989806e-05,0.0
model_name_Galant,4.6072516574908455e-05,0.0
model_name_S-Max,4.500015764283414e-05,0.0
model_name_A13,4.495197576571436e-05,0.0
model_name_39099,4.477545551728755e-05,0.0
model_name_E230,4.421983288579604e-05,0.0
model_name_460,4.410939252387192e-05,0.0
model_name_Scorpio,4.40943808173637e-05,0.0
model_name_403,4.386594521621169e-05,0.0
model_name_G,4.3414093261703144e-05,0.0
model_name_728,4.3263205190346765e-05,9.056470174529255e-06
model_name_A3,4.232310167548154e-05,0.0
model_name_Catera,4.1832986875634484e-05,1.4420500955455857e-05
model_name_Touareg,4.17740876842692e-05,0.0
model_name_Boxer,4.1742698268458294e-05,0.0
model_name_S5,4.1616027515403736e-05,0.0
manufacturer_name_Москвич,4.156776866938531e-05,0.0
model_name_ix35,4.14707668379094e-05,0.0
model_name_Range Rover,4.077388294926212e-05,0.0
model_name_750,4.0746146678559285e-05,0.0
model_name_524,4.069330588658556e-05,0.0
manufacturer_name_Chery,4.05934719390847e-05,0.0
model_name_Carisma,3.953423097980983e-05,0.0
model_name_Caddy,3.923345319444118e-05,0.0
model_name_ML320,3.921380194743755e-05,0.0
model_name_S40,3.8744469244455406e-05,0.0
model_name_Elantra,3.873166348421446e-05,0.0
model_name_E2200,3.8236211784072976e-05,0.0
model_name_Sephia,3.823580719413818e-05,0.0
model_name_EX,3.793580108303262e-05,0.0
model_name_RX,3.787459986201875e-05,0.0
model_name_Meriva,3.773948561882022e-05,0.0
model_name_Felicia,3.707604127500634e-05,0.0
model_name_800-Series,3.7032372975786006e-05,0.0
model_name_Ducato,3.679045211763813e-05,0.0
manufacturer_name_Cadillac,3.677127951942793e-05,0.0
model_name_E250,3.635759005026024e-05,0.0
model_name_Safrane,3.6081321436413e-05,0.0
model_name_200-Series,3.6038454862289764e-05,0.0
model_name_Almera Tino,3.601705613224734e-05,0.0
model_name_C-Max,3.562650811574633e-05,0.0
model_name_T4 Caravelle,3.524666186014407e-05,0.0
model_name_X1,3.501082539190758e-05,0.0
model_name_SX4,3.438306843845011e-05,0.0
model_name_Tiggo,3.429597871823107e-05,0.0
model_name_2101,3.4133058932258514e-05,0.0
model_name_A200,3.379831283756386e-05,0.0
model_name_966,3.3365447256180445e-05,6.812614172189665e-06
model_name_Stratus,3.3261795391276516e-05,0.0
model_name_Creta,3.321747655032288e-05,0.0
model_name_Maxima,3.2976790920898474e-05,0.0
model_name_Millenia,3.2746949252435826e-05,0.0
model_name_Commander,3.266425849230766e-05,0.0
model_name_Galloper,3.249478392759416e-05,0.0
model_name_GL450,3.2481753405747514e-05,0.0
model_name_V70,3.2480360928362786e-05,0.0
model_name_Cordoba,3.210452399677094e-05,0.0
model_name_Grand Vitara,3.204195552800405e-05,0.0
model_name_Crafter,3.202059427566927e-05,0.0
model_name_Nubira,3.200323097087145e-05,0.0
model_name_Espace,3.1559284251022684e-05,0.0
model_name_Tiida,3.141438778005694e-05,0.0
model_name_Town Car,3.1088201912477783e-05,0.0
model_name_19,3.067481582525798e-05,0.0
model_name_QX,3.0471451535025533e-05,0.0
model_name_Captiva,3.041882538924659e-05,0.0
model_name_ML270,3.0311776717761206e-05,0.0
model_name_Cougar,3.0194821267347896e-05,0.0
model_name_Lanos,2.9730323069335673e-05,0.0
model_name_C2,2.9652197208641944e-05,0.0
model_name_Impreza,2.961631723635336e-05,0.0
model_name_i30,2.9492109406340763e-05,0.0
model_name_Kyron,2.9299556608506615e-05,0.0
model_name_Soul,2.9283501709452934e-05,0.0
model_name_Sienna,2.9157586987696265e-05,0.0
model_name_TL,2.9017277819171433e-05,0.0
model_name_Voyager,2.8785563012186517e-05,0.0
model_name_Golf Plus,2.8613070777810318e-05,0.0
model_name_S300,2.8468664853929753e-05,0.0
model_name_607,2.8387573895267644e-05,0.0
model_name_Scudo,2.8174846526169053e-05,0.0
model_name_Micra,2.748016847402117e-05,0.0
model_name_Auris,2.7355974636761615e-05,0.0
model_name_Swift,2.7326274646361272e-05,0.0
model_name_C8,2.731165051831283e-05,0.0
model_name_Ulysse,2.687488101363786e-05,0.0
model_name_200,2.6860860949551974e-05,0.0
model_name_Matiz,2.6859672478927045e-05,0.0
model_name_Ignis,2.6857656799535227e-05,0.0
model_name_Carnival,2.685489148744239e-05,0.0
model_name_Grande Punto,2.682980081895122e-05,0.0
model_name_2106,2.6395340205772598e-05,0.0
model_name_Roomster,2.62188988566755e-05,0.0
model_name_Caliber,2.6193226209641152e-05,0.0
model_name_HiAce,2.6170079625679157e-05,0.0
manufacturer_name_Lancia,2.5790690090222883e-05,0.0
model_name_Spark,2.566972520485943e-05,0.0
